Contig name,Number of restriction sites ,Contig length,Contig coverage,Hi-C contacts mapped to the same contigs,True identity
k141_13348,4,1445,11.5019,44,kudriavzevii
k141_1,0,1102,15.395,9,kudriavzevii
k141_10680,1,1191,618.339,194,cerevisiae
k141_9790,0,4211,500.779,10020,uvarum
k141_2,1,2821,17.4684,173,kudriavzevii
k141_10681,1,4265,74.356,545,uvarum
k141_9793,0,1872,129.107,1205,kluyveri
k141_5347,0,1823,14.2833,25,kudriavzevii
k141_4,2,3049,52.999,1280,paradoxus
k141_9,3,8193,128.104,1788,kluyveri
k141_13350,1,3181,64.254,499,paradoxus
k141_12459,2,1034,87.1188,53,cerevisiae
k141_890,0,1730,14.3443,16,kudriavzevii
k141_11,3,1664,10.9141,69,kudriavzevii
k141_12461,4,3835,319.735,5786,cerevisiae
k141_1782,2,4767,275.289,1942,cerevisiae
k141_10682,6,15323,78.8325,4509,mikatae
k141_8014,0,1111,9.81686,7,kudriavzevii
k141_10684,0,2964,171.625,694,cerevisiae
k141_17,0,2953,83.3325,394,uvarum
k141_13355,6,4488,52.518,1447,paradoxus
k141_3566,3,2419,110.014,256,uvarum
k141_12464,2,4873,88.2712,699,castellii
k141_18,4,2141,300.981,1451,lactis
k141_13356,1,3514,719.693,3647,mikatae
k141_5348,18,26736,60.1727,5120,paradoxus
k141_13358,1,1528,12.3418,27,kudriavzevii
k141_7120,33,52877,92.6347,14426,castellii
k141_9798,10,25402,308.986,21020,cerevisiae
k141_8901,13,39992,81.9209,5797,stipitis
k141_1783,2,4128,103.143,4072,kluyveri
k141_8017,3,5209,108.317,733,waltii
k141_893,4,10978,297.899,7439,cerevisiae
k141_6230,7,9072,97.0424,4302,castellii
k141_2680,12,19453,104.09,8660,kluyveri
k141_12466,13,25519,83.5099,3490,uvarum
k141_3568,15,27950,103.797,13270,kluyveri
k141_4454,53,89903,48.57,1899,gossypii
k141_21,1,4859,63.371,765,paradoxus
k141_8018,2,1020,11.7483,34,kudriavzevii
k141_6232,0,1335,182.936,894,cerevisiae
k141_1785,4,2390,12.4817,40,kudriavzevii
k141_24,0,1039,9.26884,10,kudriavzevii
k141_1787,0,2835,4869.24,37740,lactis
k141_8022,3,2440,110.086,718,mikatae
k141_6235,2,6117,48.8301,813,paradoxus
k141_27,4,6825,54.7882,1105,paradoxus
k141_5351,36,54365,85.5714,8874,uvarum
k141_11570,41,86945,289.406,67562,cerevisiae
k141_5352,1,1211,1205.74,2697,paradoxus
k141_11571,4,7618,51.5932,915,paradoxus
k141_5360,4,3773,478.633,2794,waltii
k141_3571,4,10791,68.8979,873,uvarum
k141_7122,22,34010,75.5815,6736,uvarum
k141_5361,11,8376,57.8192,1242,paradoxus
k141_7129,2,3534,63.2204,724,paradoxus
